"vegetabletype_desc","2022-January-wk1","2022-January-wk2"
"Bean",842.696629213483,0
"Bowl Cabbage (White)",252.140818268316,0
"Capsicum",557.103064066852,219.298245614035
"Chilli",439.882697947214,0
"Chinese Cabbage",236.742424242424,0
"Cucumber",99.9000999000999,91.2017167381974
"Island Cabbage",129.277566539924,73.7463126843658
"Pumpkin",137.529137529138,0
"Sweet Corn",136.612021857923,0
"Tomato (Small Type)",293.083235638921,131.578947368421
