"rootcrop_desc","2022-January-wk1","2022-January-wk2"
"Banana - green (Big Type)",74.4668848019858,77.3629330642449
"Banana - green (Small type)",57.7276305431645,49.1400491400491
"Dry Coconut",50.0546050236622,21.8150087260035
"Fiji Taro",83.8060856111398,77.7121541809139
"Island Taro",110.878403350992,96.0430272762197
"Manioc",50.9164969450102,62.9150646627053
"Sweet Potato (Kumala)",68.2780281305476,112.561909049977
"Yam",0.999992297419627,102.14250124564
