"fruit_type_desc","2022-January-wk1","2022-January-wk2"
"Banana - ripe (Big type)",141.342756183746,0
"Banana - ripe (Small type)",97.9228486646884,39.4736842105263
"Breadfruit",114.285714285714,0
"Green Coconut",82.9875518672199,56.5428109854604
"Lime",196.850393700787,130.890052356021
"Pawpaw",85.6751199451679,78.2312925170068
"Pineapple",100.174216027875,125.31328320802
"Water Melon",219.703703703704,98.8970588235294
"Orange",0,176.056338028169
