interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
45-29-91-48	a7032762f1d64205a6d1bfc4e0bd895b	100	ms_int11	1	0	0	0	0	00.00:01:29	0
71-94-04-65	a77bca58f48e47868c58ef469441f7db	100	ms_int20	1	0	0	0	0	00.00:05:44	0
87-03-12-05	a9b737d7a40549ba88407d6dc7cf985e	100	ms_int20	1	0	0	0	0	00.00:03:28	0
73-35-80-26	ab5fa8dbaf734e2da200e3a7b92b41e3	100	ms_int3	1	0	0	0	0	00.00:04:01	0
40-08-63-72	ae5afb5ffcbe403dbc535653bcfc68b0	100	ms_int3	1	0	0	0	0	00.00:05:16	0
06-86-09-91	b05ac4c2240140b59a109575b9f4e516	100	ms_int10	1	0	0	0	0	00.00:01:27	0
30-04-91-54	b3808f593d4f4a559bed1787cfa3bac2	100	ms_int20	1	0	0	0	0	00.00:05:26	0
06-80-71-36	b920a0d3c6704234b4188fab50a588c0	100	ms_int10	1	0	0	0	0	00.00:02:11	0
56-80-82-16	ba5eba391a7d4f469b3757f2b4b04c9d	100	ms_int3	1	0	0	0	0	00.00:07:54	0
08-76-82-83	bc3befa9d8eb4566abc6c2074effba75	100	ms_int20	1	0	0	0	0	00.00:02:11	0
91-80-15-57	becba400d2d04588afb664c3b95deebc	100	ms_int11	1	0	0	0	0	00.00:04:52	0
39-86-10-31	c0447817a69b42ccaccaaf2b6267cc30	100	ms_int11	1	0	0	0	0	00.00:01:17	0
57-06-85-84	c1643d24125c45519d580894d6fed3a5	100	ms_int20	1	0	0	0	0	00.00:02:57	0
28-11-59-50	c298016236f34c7e852b05cfd13c3178	100	ms_int20	1	0	0	0	0	00.00:10:15	0
78-34-42-66	c5820bc482f845408a19d9b326aba768	100	ms_int3	1	0	0	0	0	00.00:07:41	0
69-37-05-59	c8e6a75b991f4220a9411da2f7fb5d28	100	ms_int10	1	0	0	0	0	00.00:05:28	0
89-15-99-50	c9dbd1c568ca46fe995a753796245f38	100	ms_int3	1	0	0	0	0	00.00:01:55	0
24-35-47-94	c9e8486ceb674710a4383b74b20296af	100	ms_int11	1	0	0	0	0	00.00:02:09	0
09-73-20-38	cd24614d42134043952dfbe50d3c3251	100	ms_int7	1	0	0	0	0	00.00:01:50	0
47-89-89-38	d2132d6347d3467b84431746fe6e64bd	100	ms_int5	1	0	0	0	0	00.00:06:09	0
44-53-55-08	d689ea460eb14e969ae8bb04ad985fa0	100	ms_int20	1	0	0	0	0	00.00:06:14	0
14-73-42-55	d7f4a140d5644179bec33249eae069bd	100	ms_int10	1	0	0	0	0	00.00:03:22	0
96-03-63-15	d853f9448e4543f89107ed4c6883db1d	100	ms_int5	1	0	0	0	0	00.00:02:09	0
30-07-17-89	d8c2636645d9466094ff17b4b774d6d1	100	ms_int11	1	0	0	0	0	00.00:01:18	0
04-93-05-67	dce64f54ecc542a3bd29b38e14a8b638	100	ms_int20	1	0	0	0	0	00.00:08:29	0
84-58-24-93	df5154ebc5a349768fe29cbcb4549d03	100	ms_int2	1	0	0	0	0	00.00:02:12	0
32-41-99-40	e0fb1bbcba1f438f92c4927d0e79890d	100	ms_int5	1	0	0	0	0	00.00:06:03	0
41-73-81-63	e2fe8fec043c43d0bdb299226d9619ad	100	ms_int11	1	0	0	0	0	00.00:01:05	0
92-50-17-36	e3692259461f4aa0b5372447eeb08661	100	ms_int2	1	0	0	0	0	00.00:01:13	0
21-30-08-15	e3e79b1b84cb4564b265a415c4614dbf	100	ms_int20	1	0	0	0	0	00.00:01:57	0
75-75-58-37	e66c61d03ba349a7995748806544cb69	100	ms_int20	1	0	0	0	0	00.00:07:17	0
40-35-13-02	e8ecedaa0b2340c7a1df1841ca169b44	100	ms_int10	1	0	0	0	0	00.00:06:47	0
87-67-68-08	eb490cb85e8e46b4ace7d97010bc5896	100	ms_int11	1	0	0	0	0	00.00:01:33	0
50-99-58-14	ef6d1adfb2164e0e8c1b0c34e5152018	100	ms_int11	1	0	0	0	0	00.00:04:46	0
68-29-51-50	eff3ef76e6dd41aba214651255287c75	100	ms_int11	1	0	0	0	0	00.00:01:46	0
56-54-82-75	f0b667280cac4b0580a0fd153044a8b7	100	ms_int3	1	0	0	0	0	00.00:01:28	0
